cliente_id,tipo_documento,numero_documento,nombres,apellido_paterno,apellido_materno,fecha_nacimiento,edad,genero,estado_civil,nivel_educacion,ocupacion,sector_economico,ciudad_residencia,departamento_residencia,region_residencia,ingresos_mensuales,egresos_mensuales,patrimonio_estimado,score_crediticio,segmento_cliente,canal_captacion,antiguedad_cliente_meses,fecha_registro,sucursal_id,estado_cliente
47,DNI,5486874,Enrique,Mamani,Gómez,1973-11-05,51,M,Soltero,Universitario,Empleado Privado,Agricultura,Trujillo,La Libertad,Norte,1644.21,1033.19,52284.79,512,Regular,Agencia,52,2020/09/22,10,Activo
48,DNI,75841616,Valeria,Gutiérrez,ToRrEs  ,1967-07-11,57,F,Casado,Universitario,Empleado Público,Tecnología,Chiclayo,Lambayeque,Norte,-1235.37,627.58,38131.31,538,Regular,Agencia,87,2017-11-03,13,Activo
49,DNI,59640165,Marco,Ramos,Romero,1979-03-10,45,M,Casado,Universitario,Independiente,Construcción,Sullana,Piura,Norte,4122.59,1786.43,128143.44,427,Regular,Campaña Institucional,11,2024/01/13,15,Activo
50,DNI,75571928,Alejandra,Martínez,Ramírez,1998/12/04,26,F,Casado,Técnico,Empleado Privado,Agricultura,El Tambo,Junín,Centro,3249.47,1905.66,87189.23,481,Regular,Agencia,9,24-02-2022,19,Activo
51,DNI,73121727,Paola,Apaza,Medina,31/03/1979,45,F,Conviviente,Universitario,Empleado Privado,Transporte,Arequipa,arequipa,Sur,3464.02,2175.37,154529.82,457,Regular,Referido,157,2012/01/30,7,Activo
52,DNI,32370589,Sofía,Ramos,Rivera,1980-01-13,44,F,Casado,Universitario,Independiente,Tecnología,Chiclayo,Lambayeque,Norte,2906.42,1755.68,49562.4,452,Regular,Agencia,131,22-03-2014,12,Inactivo
53,DNI,85289226,Pablo,Mamani,Apaza,20/06/1960,64,M,Casado,Universitario,Independiente,Servicios,Víctor Larco Herrera,La Libertad,Norte,3790.76,2439.24,44863.79,452,regular ,Digital,165,2011-06-11,11,Activo
54,DNI,49818299,Enrique,Cruz,Jiménez,1975-04-23,49,M,Soltero,Universitario,Empresario,Finanzas,Chimbote,Ancash,Centro,3365.57,2189.97,70782.9,563,Regular,Agencia,142,25-04-2013,21,Inactivo
55,DNI,78447364,Carlos,Pérez,Martínez,1969/02/20,55,M,Casado,Universitario,Independiente,Construcción,El Tambo,Junín,Centro,1442.23,670.19,27347.62,558,Regular,Digital,107,2016/02/28,19,Activo
56,DNI,53714732,Víctor,Flores,Vargas,1978/08/02,46,M,Soltero,Técnico,Independiente,Educación,Lima,Lima,Lima y Callao,4271.77,2799.93,250836.0,601,Regular,Telemarketing,95,25/02/2017,5,Activo
57,DNI,1687339,Lucía,Vargas,Laime,1985-08-03,39,F,Casado,Secundaria,Empleado Privado,Salud,Sullana,Piura,Norte,1909.56,823.0,114173.37,433,Regular,Digital,128,30-05-2014,15,Activo
58,DNI,98358416,Sofía,Cusi,García,14/11/1992,32,F,Casado,Universitario,Empleado Público,Agricultura,Chiclayo,Lambayeque,Norte,1891.01,1252.58,86665.78,510,Regular,Referido,94,2017/04/11,13,Activo
59,DNI,80002578,Patricia,Sánchez,Rojas,1979/07/05,45,F,Casado,Universitario,Independiente,Tecnología,Lima,Lima,Lima y Callao,4255.59,2078.89,241825.29,496,Regular,Agencia,51,2020-10-04,5,Inactivo
60,DNI,69409749,Pablo,Ramos,Castillo,1965-05-01,59,M,Casado,Universitario,Empresario,Finanzas,San Juan de Lurigancho,Lima,Lima y Callao,5523.89,3040.07,247771.16,689,Premium,Digital,95,2017/03/03,1,Activo
61,DNI,36897028,Mónica,Flores,Morales,28/12/1975,49,F,Soltero,Técnico,Independiente,Otro,Sullana ,Piura,Norte,1347.69,814.23,24151.66,437,Regular,Digital,81,24-04-2018,15,Activo
62,DNI,33484344,Alejandra,Cusi,  Castillo,1977-04-08,47,F,Casado,Universitario,Empleado Público,Salud,Chimbote,Ancash,Centro,2002.76,1255.8,91101.7,553,Regular,Agencia,178,2010-05-11,21,Activo
63,DNI,40415747,Silvia,Gutiérrez,Chávez,1977-11-11,47,FEMENINO,Soltero,,Independiente,Agricultura,Chiclayo,Lambayeque,Norte,2300.05,1273.82,125535.68,448,Regular,,89,16-08-2017,13,Activo
64,DNI,71208267,Víctor,Morales,Morales,2001-12-12,23,M,Casado,Secundaria,Independiente,Agricultura,Santiago de Surco,Lima,Lima y Callao,1460.47,803.16,60132.1,504,Regular,Agencia,26,2020-09-13,2,Activo
65,DNI,6724004,Carmen,Laime,Cruz,13/04/1980,44,F,Casado,Secundaria,Independiente,Transporte,Cayma,Arequipa,Sur,989.81,645.46,9838.23,497,Regular,Agencia,107,19-02-2016,6,Bloqueado
66,DNI,20549329,Paola, ramírez ,Condori,18-05-1978,46,F,Conviviente,Universitario,Empleado Privado,Educación,Cajamarca,Cajamarca,Norte,1886.38,1205.06,47528.43,501,Regular,Digital,118,2015/04/03,24,Activo
67,DNI,90453017,Lucía,Ramírez,Mamani,30/07/1982,42,F,Soltero,Técnico,Pensionista,Tecnología,SulLanA,Piura,Norte,850.0,324.86,23753.99,504,Regular,Telemarketing,69,22/04/2019,15,Inactivo
68,DNI,87833918,Diana,Torres,Chávez,1976-07-08,48,F,Casado,Universitario,Independiente,Servicios,Cajamarca,Cajamarca,Norte,5203.44,2342.18,77768.41,560,Premium,Telemarketing,156,2012/02/27,24,Activo
69,DNI,71870728,Isabel,Díaz,Laime,1999/04/08,25,F,Casado,Universitario,Empleado Privado,Tecnología,Los Olivos,Lima,Lima y Callao,1552.63,-753.02,54431.73,488,Regular,Digital,175,2010-08-11,4,Activo
70,CE,170462265,Mónica,OrtIz,García,23/09/1976,48,F,Conviviente,Técnico,Independiente,Educación,Miraflores,Lima,Lima y Callao,3496.34,1379.28,90609.4,710,Regular,Agencia,139,2013-07-31,3,Activo
71,DNI,47868633,Rocío,Ramírez,Jiménez,1976-11-13,48,F,Casado,Secundaria,Empleado Privado,Manufactura,Yanahuara,Arequipa,Sur,5253.88,2899.74,186511.75,554,Regular,Telemarketing,1,2021-11-29,8,Activo
72,DNI,30673830,Héctor,Álvarez,Rodríguez,1975-09-12,49,M,Soltero,Postgrado,Empleado Privado,Manufactura,Pisco,Ica,Sur,2561.95,1056.26,24968.68,540,Regular,Referido,173,2010-09-24,20,Activo
73,DNI,92687056, Víctor,Vargas,Morales,1992-08-07,32,M,Divorciado,Técnico,Empresario,Educación,Piura,Piura,Norte,4599.1,3198.32,161451.66,470,Regular,Digital,77,2018/08/27,14,Activo
74,DNI,26343517,Iván,Mamani,Morales,18/09/1982,42,M,Conviviente,Secundaria,Empleado Privado,Manufactura, huancayo,Junín,Centro,9061.75,5495.27,452184.59,398,Regular,Agencia,106,2016-04-04,18,Activo
75,DNI,31739363,Ana,González,Díaz,1974-03-19,50,F,Casado,Universitario,Independiente,Educación,Víctor Larco Herrera,La Libertad,Norte,850.0,475.01,27989.22,470,Regular,Digital,78,2018-07-07,11,Activo
76,DNI,9320489,David,Condori,Huanca,1969-05-21,55,M,Casado,Técnico,Empleado Privado,Construcción,Víctor Larco Herrera,La Libertad,Norte,3231.04,2242.41,104729.32,449,Regular,Agencia,53,13-08-2020,11,Activo
77,DNI,25228728,Claudia,Huanca,Choque,1991-02-08,33,F,Conviviente,Postgrado,Pensionista,Tecnología,  CUSCO,Cusco,Sur,1281.4,625.35,61116.06,431,Regular,Agencia,165,2011-05-21,16,Activo
78,DNI,50997700,Adriana,López,García,1980/06/14,44,F,Casado,Técnico,Empleado Privado,Comercio,Lima,Lima,Lima y Callao,2958.13,1721.11,34120.06,456,Regular,Digital,3,2021-03-10,5,Activo
79,DNI,54615679,María,Condori, Castro ,18-10-1957,67,FEMENINO,Soltero,Universitario,Empleado Privado,Agricultura,Arequipa,Arequipa,Sur,4651.25,1910.83,73223.09,407,Regular,Referido,159,2011/11/24,7,Activo
80,DNI,65918033,Ángela,Martínez,Pérez,1980/06/18,44,F,Conviviente,Universitario,Empleado Público,Finanzas,San Juan de Lurigancho,Lima,Lima y Callao,1643.87,915.41,17947.73,556,Regular,Digital,180,15-03-2010,1,Activo
81,DNI,61429396,Eduardo,Cusi,Laime,1992-02-07,32,M,Casado,Universitario,Empleado Privado,Educación,Arequipa,Arequipa,Sur,2485.77,1683.38,60536.46,500,Regular,Referido,151,2012/08/02,7,Activo
82,DNI,96504773,Silvia,Pérez,Condori,20/07/1972,52,F,Casado,Postgrado,Empleado Privado,Educación,Víctor Larco Herrera,La Libertad,Norte,1681.37,874.09,86777.33,482,Regular,Agencia,155,2012/03/15,11,Activo
83,DNI,51104754,Víctor,Chávez,Morales,1988-12-03,36,M,Soltero,Secundaria,Empleado Privado,Educación,Chimbote,Ancash,Centro,1961.18,842.03,88267.24,575,Regular,,40,2021/08/26,21,Activo
84,DNI,18398262,Carlos,Pérez,Jiménez,1978-04-04,46,M,Soltero,Técnico,Empleado Privado,Salud,Chiclayo,Lambayeque,Norte,1562.28,892.65,38854.49,542,Regular,Agencia,4,2020/10/12,13,Activo
85,DNI,6596575,Marco,Mamani, GonZálEz,17-07-1957,67,m,Casado,Universitario,Empleado Privado,Otro,Arequipa,Arequipa,Sur,5676.92,2605.19,229925.2,437,Regular,Campaña Institucional,118,20/04/2015,7,Activo
86,DNI,56465193,Enrique,Díaz,Mamani,1988/08/02,36,M,Casado,Universitario,Empleado Privado,Otro,Chimbote,Ancash,Centro,5122.63,2599.41,125991.9,445,Regular,Referido,126,2014/08/08,21,Activo
87,DNI,34266179,Diana,Reyes,Romero,1977/08/16,47,F,Casado,Técnico,Empresario,Tecnología,Iquitos,Loreto,Oriente,9475.34,3810.33,493522.82,478,regular ,Telemarketing,128,2014/06/23,22,Inactivo
88,DNI,90965610,Juan,Herrera,Cusi,13-03-1983,41,M,Soltero,Técnico,Independiente,Tecnología,Iquitos,Loreto,Oriente,850.0,346.12,40787.77,426,Regular,Digital,171,2010/12/04,22,Activo
89,DNI,11254573,David,Rojas,Quispe,1986-01-28,38,M,Casado,Técnico,Independiente,Servicios,San Juan de Lurigancho,Lima,Lima y Callao,944.13,509.97,24489.13,568,Regular,Digital,124,22-10-2014,1,Activo
90,DNI,25867362,Marco,Martínez,Torres,26-12-2000,24,M,Soltero,Universitario,Empresario,Educación,Cayma,Arequipa,Sur,3804.19,2234.39,164383.79,490,Regular,Agencia,63,13/10/2019,6,Activo
91,DNI,82553714,Óscar,  CaStRo,Medina,1966/01/13,59,M,Casado,Técnico,Independiente,Otro,Miraflores,Lima,Lima y Callao,963.46,429.56,45399.13,574,Regular,Agencia,148,2012/11/01,3,Activo
92,DNI,25134125,Miguel,Jiménez,Jiménez,1982-05-22,42,M,Casado,Universitario,Independiente,Educación,Trujillo,La Libertad,Norte,1173.13,751.27,52452.28,510,Regular,Digital,158,2011/12/22,10,Activo
93,DNI,7236887,Diego,Cusi,Gómez,1980/04/02,44,M,Casado,Técnico,Empleado Privado,Salud,Sullana,Piura,Norte,2141.83,1011.86,37972.77,494,Regular,Digital,159,2011/12/09,15,Activo
94,DNI,91485807,Ricardo,Chávez,Martínez,1987-08-23,37,M,Casado,Postgrado,Empleado Privado,Servicios,El Tambo,Junín,Centro,2900.48,1370.11,140958.95,517,Regular,Referido,127,2014/07/10,19,Activo
95,DNI,95962923,Juan,romero ,Ortiz,1963-07-22,61,M,viudo,universitario,Empresario,Finanzas,Los Olivos,Lima,Lima y Callao,3122.15,1273.32,165458.67,653,Regular,Agencia,61,22/12/2019,4,Activo
96,CE,604223253,Valeria,Chávez,Chávez,18-03-2004,20,F,Divorciado,Universitario,Empleado Privado,Salud,Iquitos,Loreto,Oriente,2200.14,1440.14,130348.16,486,Regular,Agencia,25,2022/12/08,22,Activo
97,CE,577590175,Mónica,Romero,González,1979/02/22,45,F,Conviviente,Universitario,Independiente,Educación,Cajamarca,Cajamarca,Norte,1542.36,965.58,44648.61,479,Regular,Agencia,72,2019-01-10,24,Activo
98,DNI,17012770,Eduardo,Vargas,Chávez,21/07/1988,36,M,Conviviente,Técnico,Empleado Público,Construcción,Víctor Larco Herrera,La Libertad,Norte,1591.17,671.14,83259.52,543,Regular,Telemarketing,175,24/07/2010,11,Activo
99,DNI,36110371,gabriela,Pérez,Herrera,1978/09/06,46,F,Soltero,tecnico,Empleado Privado,Otro,Santiago de Surco,Lima,Lima y Callao,2075.35,-1229.94,86632.13,542,Regular,Digital,102,26/07/2016,2,Activo
100,DNI,42622189,Miguel, Castro,Ramírez,13-05-1979,45,M,soltero,Universitario,Empleado Privado,Salud,LOS OLIVOS,Lima,Lima y Callao,4373.82,2198.2,201194.39,530,Regular,Agencia,27,2020/07/06,4,Activo
101,CE,523413899,CECILIA,Romero,Reyes,25/11/1992,32,F,Divorciado,Tecnico,Empresario,Comercio,Cajamarca,Cajamarca,Norte,3788.02,1609.17,54563.31,536,Regular,Telemarketing,99,2016/11/02,24,Activo
102,DNI,79180552,Alejandro,Condori,Díaz,27/06/1975,49,M,Casado,UNIVERSITARIO,Empleado Privado,Educación,Yanahuara , arequipa,Sur,2968.2,1179.75,162335.17,505,Regular,Agencia,127,15/07/2014,8,Activo
103,DNI,86661889,Carmen,Rodríguez,González,1968/01/08,57,F,Soltero,Secundaria,Empleado Privado,Servicios,Chiclayo,Lambayeque,Norte,2359.8,926.8,26298.51,540,Regular,Digital,130,2014-04-19,13,Activo
104,DNI,30316179,Rocío,Vargas,Rojas,16-03-1985,39,F,Casado,Técnico,Independiente,Otro,Miraflores,Lima,Lima y Callao,1956.91,1266.22,84959.04,542,Regular,Referido,80,15/05/2018,3,Activo
105,DNI,41056481,Diana,García,Rivera,1973-05-04,51,F,Soltero,Postgrado,Pensionista,Otro,Cajamarca,Cajamarca,Norte,1549.75,848.27,75496.58,571,Regular,Agencia,67,26/06/2019,24,Activo
106,DNI,30756,Diego,Laime,Rivera,1982-07-07,42,M,Conviviente,Secundaria,Empleado Privado,Comercio,Iquitos,Loreto,Oriente,4005.66,2513.41,218316.31,473,Regular,Digital,30,2022/07/08,22,Inactivo
107,DNI,2380617,Cecilia,Cruz,Vargas,1979-09-07,45,F,Conviviente,Universitario,Empleado Público,Agricultura,Miraflores,Lima,Lima y Callao,2048.58,1250.64,45284.71,516,Regular,Agencia,147,23-11-2012,3,Activo
108,CE,320603850,Fernando,Chávez,Laime,1975/08/11,49,M,Conviviente,Secundaria,Independiente,Otro,Cusco,Cusco,Sur,1384.93,633.78,37601.17,611,regular,Agencia,51,2020/09/30,16,Activo
109,DNI,38657191,Fernando,Apaza,Morales,1995/06/08,29,M,Casado,Universitario,Empleado Público,Educación,Tarapoto,San Martín,Oriente,1170.44,467.2,70041.33,549,Regular,Agencia,72,30/01/2019,23,Activo
110,DNI,13291212,Jorge,Morales,Chávez,1973/02/09,51,M,Casado,Técnico,Empresario,Servicios,Víctor Larco Herrera,La Libertad,Norte,8909.9,6026.06,253339.99,568,Regular,Digital,82,24/03/2018,11,Inactivo
111,DNI,52135680,Marco,Quispe,Ortiz,1983-11-11,41,M,Casado,Técnico,Empleado Privado,Construcción,Tarapoto,San Martín,Oriente,1804.89,1152.3,42991.0,489,Regular,Agencia,179,31-03-2010,23,Activo
112,DNI,32365199,Manuel,Choque, morales ,22-11-1991,33,M,Soltero,Universitario,Empleado Público,Comercio,San Juan de Lurigancho,Lima,Lima y Callao,2904.22,1850.71,44345.23,487,Regular,Campaña Institucional,16,2021-10-17,1,Activo
113,DNI,70662532,Patricia,Pérez,Castillo,1992-11-07,32,F,Soltero,Técnico,Empleado Privado,Construcción,El Tambo,Junín,Centro,2241.76,1182.57,37516.84,495,Regular,Agencia,111,2015-10-24,19,Activo
114,DNI,83806578,Marco,Huanca,Álvarez,1989/04/03,35,M,Divorciado,Técnico,Empleado Público,Finanzas, Piura ,Piura,Norte,1438.15,586.87,40148.54,508,Regular,Digital,52,2020/09/03,14,Activo
115,DNI,34803965,Andrés,Cruz,Rodríguez,1980-08-21,44,M,Conviviente,Postgrado,Empleado Privado,Construcción,El Tambo,Junín,Centro,2244.09,1564.78,79733.59,464,Regular,Agencia,60,22-01-2020,19,Activo
116,Pasaporte,784270103,Diana,Jiménez,Rodríguez,17-01-1980,44,F,Casado,Secundaria,Independiente,Salud,El Tambo,Junín,Centro,859.08,586.94,32050.16,410,Regular,Agencia,49,2020/09/19,19,Inactivo
117,DNI,51569154,Jorge,Castillo,Gómez,1991/07/28,33,M,Casado ,Postgrado,Empleado Privado,Educación,Lima,Lima,Lima y Callao,2385.46,1019.23,106496.98,491,Regular,Referido,29,2021-09-06,5,Inactivo
118,DNI,9690295,Lucía,Choque,Jiménez,1965/09/23,59,F,Conviviente,Postgrado,Independiente,Manufactura,Cajamarca,Cajamarca,Norte,4798.19,3073.84,132794.58,509,Regular,Digital,177,2010/06/09,24,Activo
119,DNI,57043315,Andrés,González,Morales,18/07/1983,41,M,Soltero,,Estudiante,Comercio, Miraflores,Lima,Lima y Callao,850.0,368.67,45931.16,482,Regular,Agencia,172,26-10-2010,3,Activo
